City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Current Description
107,Thompson,CA,55.7435,-97.8558,37.56,52,75,10.36,2021-10-19 20:50:09,broken clouds
108,Sistranda,NO,63.7256,8.834,48.9,80,100,9.19,2021-10-19 20:49:15,moderate rain
109,Codrington,AU,-38.2667,141.9667,48.27,93,87,12.71,2021-10-19 20:52:54,overcast clouds
110,Namatanai,PG,-3.6667,152.4333,81.64,76,82,5.55,2021-10-19 20:52:46,broken clouds
111,Margate,GB,51.3813,1.3862,64.96,75,100,4.0,2021-10-19 20:51:25,overcast clouds
112,Ushtobe,KZ,45.2514,77.9838,49.46,34,0,4.5,2021-10-19 20:56:26,clear sky
113,Olonets,RU,60.9847,32.9698,34.02,80,100,1.83,2021-10-19 20:56:29,overcast clouds
114,Kaniama,CD,-7.5667,24.1833,67.42,93,31,0.67,2021-10-19 20:56:31,scattered clouds
115,North Myrtle Beach,US,33.816,-78.68,77.13,53,0,1.01,2021-10-19 20:56:34,clear sky
116,Umm Lajj,SA,25.0213,37.2685,79.02,67,0,13.69,2021-10-19 20:56:41,clear sky
117,Muhos,FI,64.808,25.9931,26.38,72,100,5.06,2021-10-19 20:56:43,overcast clouds
118,Semporna,MY,4.4818,118.6112,75.4,78,100,1.01,2021-10-19 20:56:48,overcast clouds
119,Muros,ES,42.7762,-9.0603,68.85,87,39,12.57,2021-10-19 20:52:26,scattered clouds
120,Coquimbo,CL,-29.9533,-71.3436,58.73,72,75,10.36,2021-10-19 20:52:15,broken clouds
121,Bambous Virieux,MU,-20.3428,57.7575,73.65,73,40,6.91,2021-10-19 20:56:55,scattered clouds
122,Sorland,NO,67.667,12.6934,37.24,81,100,24.65,2021-10-19 20:52:13,light rain
123,Mangochi,MW,-14.4782,35.2645,75.97,58,11,13.67,2021-10-19 20:57:00,few clouds
124,Pinawa,CA,50.1489,-95.8811,45.27,54,96,11.9,2021-10-19 20:57:02,overcast clouds
125,Kavieng,PG,-2.5744,150.7967,83.03,75,83,9.95,2021-10-19 20:49:52,light rain
126,Kaitangata,NZ,-46.2817,169.8464,50.94,55,21,7.87,2021-10-19 20:50:45,few clouds
127,Dhidhdhoo,MV,6.8833,73.1,81.64,74,100,11.92,2021-10-19 20:57:10,overcast clouds
128,Yerbogachen,RU,61.2767,108.0108,34.97,85,100,11.25,2021-10-19 20:57:12,overcast clouds
129,Lompoc,US,34.6391,-120.4579,72.7,58,1,3.44,2021-10-19 20:52:25,clear sky
130,Severo-Kurilsk,RU,50.6789,156.125,39.96,89,94,7.87,2021-10-19 20:50:43,light rain
131,San Felipe,VE,10.3399,-68.7425,81.77,80,90,3.98,2021-10-19 20:57:22,overcast clouds
132,Saint George,US,37.1041,-113.5841,68.47,29,0,3.0,2021-10-19 20:57:26,clear sky
133,Macapa,BR,0.0389,-51.0664,91.38,58,75,11.5,2021-10-19 20:55:05,broken clouds
134,Kodiak,US,57.79,-152.4072,45.91,71,90,3.44,2021-10-19 20:50:48,overcast clouds
135,Nantucket,US,41.2835,-70.0995,61.97,54,13,27.72,2021-10-19 20:54:38,few clouds
136,Rayong,TH,12.8333,101.4333,81.79,99,100,2.62,2021-10-19 20:57:36,overcast clouds
137,Jacksonville,US,30.3322,-81.6556,81.25,58,1,1.99,2021-10-19 20:57:27,clear sky
138,Rafsanjan,IR,30.4067,55.9939,71.38,15,0,6.4,2021-10-19 20:57:43,clear sky
139,Sao Filipe,CV,14.8961,-24.4956,80.42,71,1,2.26,2021-10-19 20:52:55,clear sky
140,Cherskiy,RU,68.75,161.3,-13.0,100,100,2.39,2021-10-19 20:51:24,overcast clouds
141,Fortuna,US,40.5982,-124.1573,66.85,45,20,11.01,2021-10-19 20:48:18,few clouds
142,Port Keats,AU,-14.25,129.55,81.73,78,39,6.93,2021-10-19 20:57:52,scattered clouds
143,Saint-Pierre,RE,-21.3393,55.4781,73.08,73,75,6.91,2021-10-19 20:57:55,broken clouds
144,Ginir,ET,7.1333,40.7,57.33,49,42,5.26,2021-10-19 20:57:57,scattered clouds
145,Auki,SB,-8.7676,160.7034,80.29,82,100,4.23,2021-10-19 20:51:31,overcast clouds
146,Shestakovo,RU,56.4915,103.96,34.57,99,100,3.11,2021-10-19 20:58:02,light rain
147,Souillac,MU,-20.5167,57.5167,73.78,73,40,6.91,2021-10-19 20:51:36,scattered clouds
148,Kavaratti,IN,10.5669,72.642,81.7,75,100,8.32,2021-10-19 20:47:50,overcast clouds
149,Norman Wells,CA,65.282,-126.8329,19.44,86,75,3.44,2021-10-19 20:58:09,broken clouds
150,Haimen,CN,23.1935,116.6142,71.49,84,100,12.75,2021-10-19 20:58:12,overcast clouds
151,Olafsvik,IS,64.8945,-23.7142,37.53,66,6,36.51,2021-10-19 20:50:54,clear sky
152,Victoria,HK,22.2855,114.1577,79.32,80,98,1.99,2021-10-19 20:51:04,overcast clouds
153,Ornskoldsvik,SE,63.2909,18.7153,39.02,100,90,14.97,2021-10-19 20:58:19,overcast clouds
154,Altay,CN,47.8667,88.1167,40.53,37,0,11.1,2021-10-19 20:58:21,clear sky
155,Zaoyang,CN,32.1272,112.7542,51.85,92,100,5.66,2021-10-19 20:58:24,light rain
156,San Cristobal,VE,7.7669,-72.225,80.78,57,60,5.59,2021-10-19 20:58:27,broken clouds
157,Tiksi,RU,71.6872,128.8694,18.41,95,100,7.78,2021-10-19 20:51:52,light snow
158,Miri,MY,4.4148,114.0089,75.34,94,20,3.44,2021-10-19 20:58:31,few clouds
159,Verkhoyansk,RU,67.5447,133.385,9.43,95,100,3.69,2021-10-19 20:58:34,light snow
160,Lagoa,PT,39.05,-27.9833,68.2,71,3,14.47,2021-10-19 20:51:41,clear sky
161,Jawhar,SO,2.7809,45.5005,78.08,79,100,9.91,2021-10-19 20:58:39,overcast clouds
162,Youghal,IE,51.95,-7.8506,56.01,100,54,8.61,2021-10-19 20:58:41,broken clouds
163,San Quintin,MX,30.4833,-115.95,66.11,55,0,14.76,2021-10-19 20:58:46,clear sky
164,Puerto Leguizamo,CO,-0.1934,-74.7819,78.78,84,96,4.36,2021-10-19 20:58:49,overcast clouds
165,Deputatskiy,RU,69.3,139.9,-11.74,89,74,3.65,2021-10-19 20:58:51,broken clouds
166,Touros,BR,-5.1989,-35.4608,83.3,79,19,16.15,2021-10-19 20:56:51,few clouds
167,Wolgast,DE,54.05,13.7667,54.86,92,100,15.86,2021-10-19 20:58:56,light rain
168,Muskegon,US,43.3,-86.1334,71.46,69,1,10.36,2021-10-19 20:56:12,clear sky
169,Chelmno,PL,53.3485,18.4251,55.35,67,100,11.99,2021-10-19 20:59:01,overcast clouds
170,Gimli,CA,50.6336,-96.9907,48.43,65,46,23.02,2021-10-19 20:53:14,scattered clouds
171,Ternate,ID,0.8,127.4,80.53,79,44,2.95,2021-10-19 20:51:41,scattered clouds
172,Vestmanna,FO,62.1564,-7.1664,45.52,100,75,26.46,2021-10-19 20:59:08,broken clouds
173,Faanui,PF,-16.4833,-151.75,80.26,76,97,14.45,2021-10-19 20:50:33,overcast clouds
174,Moissala,TD,8.3404,17.7663,71.96,93,100,0.58,2021-10-19 20:59:13,light rain
175,Yenagoa,NG,4.9247,6.2642,73.6,96,100,3.49,2021-10-19 20:59:15,overcast clouds
176,Plettenberg Bay,ZA,-34.0527,23.3716,57.56,81,0,6.55,2021-10-19 20:59:18,clear sky
177,Fort Nelson,CA,58.8053,-122.7002,29.79,74,75,3.44,2021-10-19 20:59:20,broken clouds
178,Cap Malheureux,MU,-19.9842,57.6142,73.89,78,33,3.0,2021-10-19 20:59:05,scattered clouds
179,Beringovskiy,RU,63.05,179.3167,25.72,78,39,14.85,2021-10-19 20:52:53,scattered clouds
180,De Land,US,29.0283,-81.3031,82.98,55,40,11.5,2021-10-19 20:59:27,scattered clouds
181,Bollnas,SE,61.3482,16.3946,40.39,98,100,5.06,2021-10-19 20:59:30,overcast clouds
182,Meulaboh,ID,4.1363,96.1285,75.52,90,83,3.53,2021-10-19 20:52:10,broken clouds
183,Kaeo,NZ,-35.1,173.7833,61.32,84,90,7.2,2021-10-19 20:59:34,overcast clouds
184,Tsiroanomandidy,MG,-18.7667,46.0333,74.08,60,66,2.44,2021-10-19 20:59:37,light rain
185,Maragogi,BR,-9.0122,-35.2225,77.79,81,100,11.7,2021-10-19 20:59:40,overcast clouds
186,Camacha,PT,33.0833,-16.3333,73.53,83,20,8.05,2021-10-19 20:52:43,few clouds
187,Yulara,AU,-25.2406,130.9889,71.44,26,5,0.0,2021-10-19 20:53:05,clear sky
188,Aklavik,CA,68.2191,-135.0107,18.43,87,67,10.83,2021-10-19 20:49:49,broken clouds
189,Thinadhoo,MV,0.5333,72.9333,83.1,74,55,14.18,2021-10-19 20:49:37,broken clouds
190,Mount Isa,AU,-20.7333,139.5,71.37,56,16,0.0,2021-10-19 20:59:56,few clouds
191,Feijo,BR,-8.1642,-70.3536,82.76,70,91,1.66,2021-10-19 20:59:58,overcast clouds
192,Qaqortoq,GL,60.7167,-46.0333,37.04,49,0,2.89,2021-10-19 21:00:01,clear sky
193,Komsomolskiy,UZ,40.4272,71.7189,53.02,54,100,6.91,2021-10-19 20:52:41,overcast clouds
194,Hithadhoo,MV,-0.6,73.0833,83.05,73,62,14.12,2021-10-19 20:51:41,broken clouds
195,Damghan,IR,36.1683,54.348,58.15,54,21,3.58,2021-10-19 21:00:09,few clouds
196,Haines Junction,CA,60.7522,-137.5108,33.94,64,100,3.27,2021-10-19 21:00:12,overcast clouds
197,Cabo San Lucas,MX,22.8909,-109.9124,90.61,67,28,10.96,2021-10-19 20:56:08,scattered clouds
198,Bereda,ES,43.2686,-7.5406,69.42,61,100,9.17,2021-10-19 20:51:09,overcast clouds
199,Saskylakh,RU,71.9167,114.0833,21.13,97,100,0.65,2021-10-19 20:52:00,light snow
200,Krasnoselkup,RU,65.7,82.4667,40.37,92,100,21.88,2021-10-19 21:00:21,light rain
201,Kudat,MY,6.8837,116.8477,78.78,86,87,8.55,2021-10-19 21:00:24,overcast clouds
202,Balkhash,KZ,46.844,74.9804,47.71,44,0,8.7,2021-10-19 21:00:27,clear sky
203,Hay River,CA,60.8156,-115.7999,42.85,49,55,10.45,2021-10-19 21:00:29,broken clouds
