City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
88,Arman,RU,2021-10-17 07:43:51,59.7,150.1667,19.8,51,26,11.88
89,Roseburg,US,2021-10-17 07:43:53,43.2165,-123.3417,51.91,90,1,0.0
90,Tatarka,RU,2021-10-17 07:43:56,44.9589,41.9517,62.96,62,5,5.17
91,Klaksvik,FO,2021-10-17 07:43:58,62.2266,-6.589,40.12,66,100,9.24
92,Khatanga,RU,2021-10-17 07:44:00,71.9667,102.5,22.28,88,100,8.66
93,Hamilton,US,2021-10-17 07:43:17,39.1834,-84.5333,46.4,86,1,1.01
94,Olafsvik,IS,2021-10-17 07:44:05,64.8945,-23.7142,35.15,87,100,21.83
95,Katsuura,JP,2021-10-17 07:44:07,35.1333,140.3,59.14,85,100,25.01
96,Plettenberg Bay,ZA,2021-10-17 07:44:10,-34.0527,23.3716,52.66,83,100,13.47
97,Sao Sebastiao,BR,2021-10-17 07:44:12,-23.76,-45.4097,68.99,95,100,3.71
98,Buin,CL,2021-10-17 07:44:15,-33.7333,-70.75,56.73,57,100,4.14
99,Benghazi,LY,2021-10-17 07:44:17,32.1167,20.0667,70.21,54,72,3.22
100,Hasaki,JP,2021-10-17 07:44:19,35.7333,140.8333,55.8,79,100,24.67
101,Kaitangata,NZ,2021-10-17 07:44:24,-46.2817,169.8464,56.93,77,58,0.65
102,Broome,US,2021-10-17 07:44:27,42.2506,-75.833,49.91,80,1,1.99
103,Mandurah,AU,2021-10-17 07:40:27,-32.55,115.7,71.13,66,68,8.97
104,Vila Velha,BR,2021-10-17 07:44:31,-20.3297,-40.2925,76.95,73,40,8.05
105,Kodiak,US,2021-10-17 07:44:34,57.79,-152.4072,38.17,88,100,21.45
106,Cherskiy,RU,2021-10-17 07:44:36,68.75,161.3,-10.97,100,88,4.36
107,Bethel,US,2021-10-17 07:44:41,41.3712,-73.414,55.71,90,1,0.0
108,Sulangan,PH,2021-10-17 07:44:43,11.1373,123.7228,84.72,71,98,5.17
109,Severodvinsk,RU,2021-10-17 07:44:46,64.5635,39.8302,39.31,95,100,17.11
110,Nouadhibou,MR,2021-10-17 07:44:48,20.931,-17.0347,75.63,51,7,9.04
111,Goderich,CA,2021-10-17 07:44:51,43.7501,-81.7165,55.9,66,100,18.41
112,Atasu,KZ,2021-10-17 07:44:54,48.6814,71.6433,52.09,29,3,5.64
113,Vanimo,PG,2021-10-17 07:44:56,-2.6741,141.3028,82.71,76,100,6.71
114,Esperance,AU,2021-10-17 07:44:00,-33.8667,121.9,71.44,80,2,12.1
115,Billings,US,2021-10-17 07:43:28,45.7833,-108.5007,55.17,54,1,16.11
116,Santiago Del Estero,AR,2021-10-17 07:41:40,-27.7951,-64.2615,52.81,52,0,5.91
117,Singaparna,ID,2021-10-17 07:45:09,-7.3515,108.111,84.67,63,98,4.27
118,Tuatapere,NZ,2021-10-17 07:45:12,-46.1333,167.6833,51.42,90,100,3.56
119,Raga,SS,2021-10-17 07:45:14,8.4596,25.678,84.9,59,15,4.56
120,Spokane,US,2021-10-17 07:40:49,47.6166,-117.3677,52.25,65,1,3.44
121,Avarua,CK,2021-10-17 07:45:19,-21.2078,-159.775,75.25,88,75,1.14
122,Abnub,EG,2021-10-17 07:45:22,27.2696,31.1511,90.93,16,55,11.01
123,Jiuquan,CN,2021-10-17 07:45:24,39.7432,98.5174,60.6,14,89,12.86
124,San Carlos De Bariloche,AR,2021-10-17 07:45:26,-41.1456,-71.3082,40.75,81,0,17.27
125,San Ramon,US,2021-10-17 07:45:17,37.7799,-121.978,65.5,41,1,3.44
126,Xining,CN,2021-10-17 07:45:31,36.6167,101.7667,58.5,36,37,3.96
127,Punta Arenas,CL,2021-10-17 07:45:33,-53.15,-70.9167,39.31,81,40,18.41
128,Zhuzhou,CN,2021-10-17 07:45:36,27.8333,113.15,60.93,76,98,8.86
129,Sao Joao Da Barra,BR,2021-10-17 07:45:38,-21.6403,-41.0511,71.76,95,100,13.6
130,Saint-Augustin,CA,2021-10-17 07:45:41,51.226,-58.6502,36.57,78,36,7.83
131,Ozernovskiy,RU,2021-10-17 07:45:43,51.5,156.5167,39.7,89,100,24.76
132,Yulara,AU,2021-10-17 07:45:46,-25.2406,130.9889,96.64,9,44,19.57
133,Snezhnogorsk,RU,2021-10-17 07:45:48,69.1933,33.2531,35.38,83,34,8.34
134,Contamana,PE,2021-10-17 07:45:51,-7.3333,-75.0167,70.54,83,95,1.9
135,Saint-Philippe,RE,2021-10-17 07:45:53,-21.3585,55.7679,79.48,78,17,14.27
136,Walvis Bay,NA,2021-10-17 07:45:55,-22.9575,14.5053,58.08,71,0,16.11
137,Lazaro Cardenas,MX,2021-10-17 07:46:01,17.9583,-102.2,77.2,91,100,4.38
138,Bulgan,MN,2021-10-17 07:46:03,48.8125,103.5347,42.39,31,60,6.89
139,Ndele,CF,2021-10-17 07:46:06,8.4109,20.6473,80.71,76,44,3.91
140,Thompson,CA,2021-10-17 07:46:08,55.7435,-97.8558,28.56,100,1,2.3
141,Verkh-Chebula,RU,2021-10-17 07:46:11,56.0308,87.6218,46.74,50,45,1.77
142,Hailar,CN,2021-10-17 07:46:13,49.2,119.7,32.23,69,100,7.18
143,Talara,PE,2021-10-17 07:46:15,-4.5772,-81.2719,65.34,87,100,14.45
144,Thinadhoo,MV,2021-10-17 07:46:18,0.5333,72.9333,83.39,78,26,16.75
145,Honavar,IN,2021-10-17 07:46:20,14.2833,74.45,82.9,78,100,5.77
146,Kapaa,US,2021-10-17 07:46:22,22.0752,-159.319,75.52,83,90,4.0
147,Peace River,CA,2021-10-17 07:44:21,56.2501,-117.286,38.66,97,90,10.36
148,Bluff,NZ,2021-10-17 07:46:29,-46.6,168.3333,53.98,83,100,7.76
149,Kieta,PG,2021-10-17 07:46:32,-6.2167,155.6333,81.95,75,58,3.56
150,Bathurst,AU,2021-10-17 07:46:34,-33.4166,149.5806,52.43,73,53,5.19
151,Port-Gentil,GA,2021-10-17 07:46:36,-0.7193,8.7815,80.56,83,40,8.05
152,Chuy,UY,2021-10-17 07:46:39,-33.6971,-53.4616,45.18,77,0,3.42
153,Torbay,CA,2021-10-17 07:46:41,47.6666,-52.7314,42.76,94,90,16.11
154,Raudeberg,NO,2021-10-17 07:46:44,61.9875,5.1352,38.86,92,81,4.47
155,Kavieng,PG,2021-10-17 07:46:46,-2.5744,150.7967,84.99,68,9,11.95
156,Beloha,MG,2021-10-17 07:46:49,-25.1667,45.05,94.17,26,0,4.68
157,Wanaka,NZ,2021-10-17 07:45:37,-44.7,169.15,51.12,86,91,1.01
158,Jiaonan,CN,2021-10-17 07:46:53,35.8786,119.9753,59.02,37,0,3.71
159,Sibolga,ID,2021-10-17 07:46:56,1.7427,98.7792,85.64,69,95,6.2
160,Margate,GB,2021-10-17 07:46:58,51.3813,1.3862,58.3,89,100,16.69
